dataset_id,protocol_id,n_sub,replicate_id,classifier_id,fold_id,auc
synthetic_pilot,cv5,50,6,gb,3,0.65625
synthetic_pilot,cv5,50,6,gb,4,0.6875
synthetic_pilot,cv5,50,6,gb,5,0.6875
synthetic_pilot,cv5,50,7,logreg,1,0.5
synthetic_pilot,cv5,50,7,logreg,2,0.8125
synthetic_pilot,cv5,50,7,logreg,3,0.9375
synthetic_pilot,cv5,50,7,logreg,4,1.0
synthetic_pilot,cv5,50,7,logreg,5,0.8125
synthetic_pilot,cv5,50,7,knn,1,0.46875
synthetic_pilot,cv5,50,7,knn,2,0.75
synthetic_pilot,cv5,50,7,knn,3,0.34375
synthetic_pilot,cv5,50,7,knn,4,0.75
synthetic_pilot,cv5,50,7,knn,5,0.75
synthetic_pilot,cv5,50,7,dtree,1,0.25
synthetic_pilot,cv5,50,7,dtree,2,0.4375
synthetic_pilot,cv5,50,7,dtree,3,0.4375
synthetic_pilot,cv5,50,7,dtree,4,0.4375
synthetic_pilot,cv5,50,7,dtree,5,0.4375
synthetic_pilot,cv5,50,7,svm,1,0.375
synthetic_pilot,cv5,50,7,svm,2,0.875
synthetic_pilot,cv5,50,7,svm,3,0.875
synthetic_pilot,cv5,50,7,svm,4,1.0
synthetic_pilot,cv5,50,7,svm,5,0.75
synthetic_pilot,cv5,50,7,rf,1,0.1875
synthetic_pilot,cv5,50,7,rf,2,0.875
synthetic_pilot,cv5,50,7,rf,3,0.9375
synthetic_pilot,cv5,50,7,rf,4,0.625
synthetic_pilot,cv5,50,7,rf,5,0.59375
synthetic_pilot,cv5,50,7,gb,1,0.0625
synthetic_pilot,cv5,50,7,gb,2,0.625
synthetic_pilot,cv5,50,7,gb,3,0.78125
synthetic_pilot,cv5,50,7,gb,4,1.0
synthetic_pilot,cv5,50,7,gb,5,0.625
synthetic_pilot,cv5,50,8,logreg,1,0.625
synthetic_pilot,cv5,50,8,logreg,2,0.4375
synthetic_pilot,cv5,50,8,logreg,3,0.375
synthetic_pilot,cv5,50,8,logreg,4,0.6875
synthetic_pilot,cv5,50,8,logreg,5,0.4375
synthetic_pilot,cv5,50,8,knn,1,0.71875
synthetic_pilot,cv5,50,8,knn,2,0.84375
synthetic_pilot,cv5,50,8,knn,3,0.25
synthetic_pilot,cv5,50,8,knn,4,0.40625
synthetic_pilot,cv5,50,8,knn,5,0.28125
synthetic_pilot,cv5,50,8,dtree,1,0.625
synthetic_pilot,cv5,50,8,dtree,2,0.6875
synthetic_pilot,cv5,50,8,dtree,3,0.5
synthetic_pilot,cv5,50,8,dtree,4,0.625
synthetic_pilot,cv5,50,8,dtree,5,0.25
synthetic_pilot,cv5,50,8,svm,1,0.6875
synthetic_pilot,cv5,50,8,svm,2,0.3125
synthetic_pilot,cv5,50,8,svm,3,0.5625
synthetic_pilot,cv5,50,8,svm,4,0.25
synthetic_pilot,cv5,50,8,svm,5,0.375
synthetic_pilot,cv5,50,8,rf,1,0.5625
synthetic_pilot,cv5,50,8,rf,2,0.5
synthetic_pilot,cv5,50,8,rf,3,0.375
synthetic_pilot,cv5,50,8,rf,4,0.5625
synthetic_pilot,cv5,50,8,rf,5,0.46875
synthetic_pilot,cv5,50,8,gb,1,0.125
synthetic_pilot,cv5,50,8,gb,2,0.0625
synthetic_pilot,cv5,50,8,gb,3,0.1875
synthetic_pilot,cv5,50,8,gb,4,0.53125
synthetic_pilot,cv5,50,8,gb,5,0.75
synthetic_pilot,cv5,50,9,logreg,1,0.5
synthetic_pilot,cv5,50,9,logreg,2,1.0
synthetic_pilot,cv5,50,9,logreg,3,0.9375
synthetic_pilot,cv5,50,9,logreg,4,0.4375
synthetic_pilot,cv5,50,9,logreg,5,0.75
synthetic_pilot,cv5,50,9,knn,1,0.40625
synthetic_pilot,cv5,50,9,knn,2,0.96875
synthetic_pilot,cv5,50,9,knn,3,0.5
synthetic_pilot,cv5,50,9,knn,4,0.40625
synthetic_pilot,cv5,50,9,knn,5,0.78125
synthetic_pilot,cv5,50,9,dtree,1,0.375
synthetic_pilot,cv5,50,9,dtree,2,0.6875
synthetic_pilot,cv5,50,9,dtree,3,0.5
synthetic_pilot,cv5,50,9,dtree,4,0.375
synthetic_pilot,cv5,50,9,dtree,5,0.9375
synthetic_pilot,cv5,50,9,svm,1,0.6875
synthetic_pilot,cv5,50,9,svm,2,1.0
synthetic_pilot,cv5,50,9,svm,3,0.9375
synthetic_pilot,cv5,50,9,svm,4,0.8125
synthetic_pilot,cv5,50,9,svm,5,0.9375
synthetic_pilot,cv5,50,9,rf,1,0.3125
synthetic_pilot,cv5,50,9,rf,2,1.0
synthetic_pilot,cv5,50,9,rf,3,0.65625
synthetic_pilot,cv5,50,9,rf,4,0.625
synthetic_pilot,cv5,50,9,rf,5,0.84375
synthetic_pilot,cv5,50,9,gb,1,0.8125
synthetic_pilot,cv5,50,9,gb,2,0.875
synthetic_pilot,cv5,50,9,gb,3,0.53125
synthetic_pilot,cv5,50,9,gb,4,0.5625
synthetic_pilot,cv5,50,9,gb,5,0.625
synthetic_pilot,cv5,50,10,logreg,1,0.9375
synthetic_pilot,cv5,50,10,logreg,2,0.6875
synthetic_pilot,cv5,50,10,logreg,3,0.875
synthetic_pilot,cv5,50,10,logreg,4,0.8125
synthetic_pilot,cv5,50,10,logreg,5,0.875
synthetic_pilot,cv5,50,10,knn,1,1.0
synthetic_pilot,cv5,50,10,knn,2,0.78125
synthetic_pilot,cv5,50,10,knn,3,0.71875
synthetic_pilot,cv5,50,10,knn,4,0.8125
synthetic_pilot,cv5,50,10,knn,5,0.625
synthetic_pilot,cv5,50,10,dtree,1,0.6875
synthetic_pilot,cv5,50,10,dtree,2,0.75
synthetic_pilot,cv5,50,10,dtree,3,0.625
synthetic_pilot,cv5,50,10,dtree,4,1.0
synthetic_pilot,cv5,50,10,dtree,5,0.5
synthetic_pilot,cv5,50,10,svm,1,0.9375
synthetic_pilot,cv5,50,10,svm,2,0.8125
synthetic_pilot,cv5,50,10,svm,3,0.8125
synthetic_pilot,cv5,50,10,svm,4,0.9375
synthetic_pilot,cv5,50,10,svm,5,0.6875
synthetic_pilot,cv5,50,10,rf,1,1.0
synthetic_pilot,cv5,50,10,rf,2,0.75
synthetic_pilot,cv5,50,10,rf,3,0.875
synthetic_pilot,cv5,50,10,rf,4,0.9375
synthetic_pilot,cv5,50,10,rf,5,0.84375
synthetic_pilot,cv5,50,10,gb,1,0.9375
synthetic_pilot,cv5,50,10,gb,2,0.5625
synthetic_pilot,cv5,50,10,gb,3,0.8125
synthetic_pilot,cv5,50,10,gb,4,0.5625
synthetic_pilot,cv5,50,10,gb,5,0.75
synthetic_pilot,cv5,50,11,logreg,1,0.375
synthetic_pilot,cv5,50,11,logreg,2,0.9375
synthetic_pilot,cv5,50,11,logreg,3,0.5
synthetic_pilot,cv5,50,11,logreg,4,0.625
synthetic_pilot,cv5,50,11,logreg,5,0.8125
synthetic_pilot,cv5,50,11,knn,1,0.5
synthetic_pilot,cv5,50,11,knn,2,0.8125
synthetic_pilot,cv5,50,11,knn,3,0.59375
synthetic_pilot,cv5,50,11,knn,4,0.90625
synthetic_pilot,cv5,50,11,knn,5,0.78125
synthetic_pilot,cv5,50,11,dtree,1,0.625
synthetic_pilot,cv5,50,11,dtree,2,0.75
synthetic_pilot,cv5,50,11,dtree,3,0.5625
synthetic_pilot,cv5,50,11,dtree,4,0.6875
synthetic_pilot,cv5,50,11,dtree,5,0.6875
synthetic_pilot,cv5,50,11,svm,1,0.625
synthetic_pilot,cv5,50,11,svm,2,0.375
synthetic_pilot,cv5,50,11,svm,3,0.5
synthetic_pilot,cv5,50,11,svm,4,0.0
synthetic_pilot,cv5,50,11,svm,5,0.1875
synthetic_pilot,cv5,50,11,rf,1,0.65625
synthetic_pilot,cv5,50,11,rf,2,0.625
synthetic_pilot,cv5,50,11,rf,3,0.5625
synthetic_pilot,cv5,50,11,rf,4,0.875
synthetic_pilot,cv5,50,11,rf,5,0.8125
synthetic_pilot,cv5,50,11,gb,1,0.4375
synthetic_pilot,cv5,50,11,gb,2,0.375
synthetic_pilot,cv5,50,11,gb,3,0.375
synthetic_pilot,cv5,50,11,gb,4,0.6875
synthetic_pilot,cv5,50,11,gb,5,0.75
synthetic_pilot,cv5,50,12,logreg,1,1.0
synthetic_pilot,cv5,50,12,logreg,2,0.8125
synthetic_pilot,cv5,50,12,logreg,3,0.6875
synthetic_pilot,cv5,50,12,logreg,4,0.1875
synthetic_pilot,cv5,50,12,logreg,5,1.0
synthetic_pilot,cv5,50,12,knn,1,0.59375
synthetic_pilot,cv5,50,12,knn,2,0.96875
synthetic_pilot,cv5,50,12,knn,3,0.8125
synthetic_pilot,cv5,50,12,knn,4,0.4375
synthetic_pilot,cv5,50,12,knn,5,0.9375
synthetic_pilot,cv5,50,12,dtree,1,0.4375
synthetic_pilot,cv5,50,12,dtree,2,1.0
synthetic_pilot,cv5,50,12,dtree,3,0.4375
synthetic_pilot,cv5,50,12,dtree,4,0.4375
synthetic_pilot,cv5,50,12,dtree,5,0.6875
synthetic_pilot,cv5,50,12,svm,1,0.875
synthetic_pilot,cv5,50,12,svm,2,0.9375
synthetic_pilot,cv5,50,12,svm,3,0.8125
synthetic_pilot,cv5,50,12,svm,4,0.375
synthetic_pilot,cv5,50,12,svm,5,1.0
synthetic_pilot,cv5,50,12,rf,1,0.8125
synthetic_pilot,cv5,50,12,rf,2,0.90625
synthetic_pilot,cv5,50,12,rf,3,0.96875
synthetic_pilot,cv5,50,12,rf,4,0.5625
synthetic_pilot,cv5,50,12,rf,5,0.9375
synthetic_pilot,cv5,50,12,gb,1,1.0
synthetic_pilot,cv5,50,12,gb,2,0.625
synthetic_pilot,cv5,50,12,gb,3,0.75
synthetic_pilot,cv5,50,12,gb,4,0.5
synthetic_pilot,cv5,50,12,gb,5,1.0
synthetic_pilot,cv5,50,13,logreg,1,0.6875
synthetic_pilot,cv5,50,13,logreg,2,1.0
synthetic_pilot,cv5,50,13,logreg,3,0.375
synthetic_pilot,cv5,50,13,logreg,4,0.9375
synthetic_pilot,cv5,50,13,logreg,5,0.4375
synthetic_pilot,cv5,50,13,knn,1,0.65625
synthetic_pilot,cv5,50,13,knn,2,0.5625
synthetic_pilot,cv5,50,13,knn,3,0.125
synthetic_pilot,cv5,50,13,knn,4,0.84375
synthetic_pilot,cv5,50,13,knn,5,0.25
synthetic_pilot,cv5,50,13,dtree,1,0.4375
synthetic_pilot,cv5,50,13,dtree,2,0.1875
synthetic_pilot,cv5,50,13,dtree,3,0.4375
synthetic_pilot,cv5,50,13,dtree,4,0.4375
synthetic_pilot,cv5,50,13,dtree,5,0.3125
synthetic_pilot,cv5,50,13,svm,1,0.6875
synthetic_pilot,cv5,50,13,svm,2,0.0
synthetic_pilot,cv5,50,13,svm,3,0.5625
synthetic_pilot,cv5,50,13,svm,4,0.125
synthetic_pilot,cv5,50,13,svm,5,0.5
synthetic_pilot,cv5,50,13,rf,1,0.6875
synthetic_pilot,cv5,50,13,rf,2,0.875
synthetic_pilot,cv5,50,13,rf,3,0.25
synthetic_pilot,cv5,50,13,rf,4,0.21875
synthetic_pilot,cv5,50,13,rf,5,0.40625
synthetic_pilot,cv5,50,13,gb,1,0.75
synthetic_pilot,cv5,50,13,gb,2,0.875
synthetic_pilot,cv5,50,13,gb,3,0.875
synthetic_pilot,cv5,50,13,gb,4,1.0
synthetic_pilot,cv5,50,13,gb,5,0.5
synthetic_pilot,cv5,50,14,logreg,1,0.6875
synthetic_pilot,cv5,50,14,logreg,2,0.8125
synthetic_pilot,cv5,50,14,logreg,3,0.75
synthetic_pilot,cv5,50,14,logreg,4,0.625
synthetic_pilot,cv5,50,14,logreg,5,0.8125
synthetic_pilot,cv5,50,14,knn,1,0.6875
synthetic_pilot,cv5,50,14,knn,2,0.34375
synthetic_pilot,cv5,50,14,knn,3,0.9375
synthetic_pilot,cv5,50,14,knn,4,0.28125
synthetic_pilot,cv5,50,14,knn,5,0.5625
synthetic_pilot,cv5,50,14,dtree,1,0.5
synthetic_pilot,cv5,50,14,dtree,2,0.8125
synthetic_pilot,cv5,50,14,dtree,3,0.375
synthetic_pilot,cv5,50,14,dtree,4,0.25
synthetic_pilot,cv5,50,14,dtree,5,0.4375
synthetic_pilot,cv5,50,14,svm,1,0.625
synthetic_pilot,cv5,50,14,svm,2,0.625
synthetic_pilot,cv5,50,14,svm,3,0.75
synthetic_pilot,cv5,50,14,svm,4,0.4375
synthetic_pilot,cv5,50,14,svm,5,0.4375
synthetic_pilot,cv5,50,14,rf,1,0.6875
synthetic_pilot,cv5,50,14,rf,2,0.8125
synthetic_pilot,cv5,50,14,rf,3,0.25
synthetic_pilot,cv5,50,14,rf,4,0.40625
synthetic_pilot,cv5,50,14,rf,5,0.34375
synthetic_pilot,cv5,50,14,gb,1,0.75
synthetic_pilot,cv5,50,14,gb,2,0.8125
synthetic_pilot,cv5,50,14,gb,3,0.90625
synthetic_pilot,cv5,50,14,gb,4,0.46875
synthetic_pilot,cv5,50,14,gb,5,0.875
synthetic_pilot,cv5,50,15,logreg,1,0.875
synthetic_pilot,cv5,50,15,logreg,2,0.6875
synthetic_pilot,cv5,50,15,logreg,3,0.5
synthetic_pilot,cv5,50,15,logreg,4,0.5625
synthetic_pilot,cv5,50,15,logreg,5,0.5
synthetic_pilot,cv5,50,15,knn,1,0.0625
synthetic_pilot,cv5,50,15,knn,2,0.3125
synthetic_pilot,cv5,50,15,knn,3,0.46875
synthetic_pilot,cv5,50,15,knn,4,0.46875
synthetic_pilot,cv5,50,15,knn,5,0.5625
synthetic_pilot,cv5,50,15,dtree,1,0.6875
synthetic_pilot,cv5,50,15,dtree,2,0.375
synthetic_pilot,cv5,50,15,dtree,3,0.6875
